"","Localidade","Variável","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"112","Fênix","Índice Ipardes de Desempenho Municipal (IPDM)",0.5908,0.6079,0.6052,0.5573,0.5238,0.5987,0.6174,0.7332,0.7083
"113","Fernandes Pinheiro","Índice Ipardes de Desempenho Municipal (IPDM)",0.5811,0.5466,0.5397,0.6079,0.6246,0.6035,0.5878,0.6118,0.604
"114","Figueira","Índice Ipardes de Desempenho Municipal (IPDM)",0.5156,0.5745,0.5904,0.6038,0.6116,0.6312,0.6429,0.714,0.7214
"115","Flor da Serra do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.6613,0.6602,0.6232,0.6314,0.6397,0.6507,0.6802,0.7194,0.7326
"116","Floraí","Índice Ipardes de Desempenho Municipal (IPDM)",0.7242,0.7231,0.7136,0.7078,0.7231,0.7392,0.7336,0.74,0.743
"117","Floresta","Índice Ipardes de Desempenho Municipal (IPDM)",0.6179,0.6678,0.6601,0.6948,0.6562,0.6593,0.6662,0.7075,0.6773
"118","Florestópolis","Índice Ipardes de Desempenho Municipal (IPDM)",0.5972,0.6298,0.6399,0.6437,0.6485,0.6492,0.6588,0.6751,0.6467
"119","Flórida","Índice Ipardes de Desempenho Municipal (IPDM)",0.7012,0.711,0.7008,0.7576,0.7395,0.7463,0.7492,0.7528,0.7512
"120","Formosa do Oeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.6713,0.6842,0.6526,0.6141,0.6166,0.6707,0.7061,0.7388,0.7096
"121","Foz do Iguaçu","Índice Ipardes de Desempenho Municipal (IPDM)",0.6503,0.6777,0.6851,0.699,0.6875,0.6803,0.6827,0.7053,0.7174
"122","Foz do Jordão","Índice Ipardes de Desempenho Municipal (IPDM)",0.4709,0.5482,0.5225,0.518,0.5384,0.5236,0.5518,0.5542,0.5823
"123","Francisco Alves","Índice Ipardes de Desempenho Municipal (IPDM)",0.5486,0.5882,0.569,0.5966,0.602,0.5791,0.5741,0.6056,0.6555
"124","Francisco Beltrão","Índice Ipardes de Desempenho Municipal (IPDM)",0.7165,0.727,0.7039,0.7266,0.7331,0.7244,0.7251,0.7503,0.7465
"125","General Carneiro","Índice Ipardes de Desempenho Municipal (IPDM)",0.5153,0.5309,0.5252,0.5516,0.5524,0.5408,0.5556,0.5976,0.5932
"126","Godoy Moreira","Índice Ipardes de Desempenho Municipal (IPDM)",0.6235,0.6813,0.6418,0.5429,0.5498,0.5675,0.6341,0.6474,0.682
"127","Goioerê","Índice Ipardes de Desempenho Municipal (IPDM)",0.6082,0.6512,0.6422,0.6529,0.6351,0.6589,0.6527,0.6999,0.7224
"128","Goioxim","Índice Ipardes de Desempenho Municipal (IPDM)",0.4116,0.489,0.4535,0.5528,0.5138,0.5162,0.5157,0.5728,0.6284
"129","Grandes Rios","Índice Ipardes de Desempenho Municipal (IPDM)",0.4761,0.5212,0.526,0.5541,0.5796,0.6263,0.6477,0.6541,0.6465
"130","Guaíra","Índice Ipardes de Desempenho Municipal (IPDM)",0.4688,0.5021,0.5191,0.5621,0.5942,0.5881,0.5958,0.6208,0.6487
"131","Guairaçá","Índice Ipardes de Desempenho Municipal (IPDM)",0.5763,0.6097,0.5889,0.5402,0.5582,0.5943,0.6472,0.7118,0.7017
"132","Guamiranga","Índice Ipardes de Desempenho Municipal (IPDM)",0.5857,0.6008,0.5619,0.5862,0.6124,0.6032,0.6174,0.6336,0.6417
"133","Guapirama","Índice Ipardes de Desempenho Municipal (IPDM)",0.5587,0.5624,0.6046,0.6572,0.6032,0.6237,0.6241,0.6499,0.6622
"134","Guaporema","Índice Ipardes de Desempenho Municipal (IPDM)",0.6858,0.6914,0.6785,0.6889,0.7093,0.6723,0.6944,0.7174,0.7034
"135","Guaraci","Índice Ipardes de Desempenho Municipal (IPDM)",0.5781,0.6395,0.649,0.6487,0.6397,0.6679,0.7084,0.6732,0.654
"136","Guaraniaçu","Índice Ipardes de Desempenho Municipal (IPDM)",0.6197,0.6573,0.649,0.646,0.6537,0.6455,0.6612,0.7124,0.6977
"137","Guarapuava","Índice Ipardes de Desempenho Municipal (IPDM)",0.6048,0.6245,0.6328,0.667,0.6781,0.6964,0.7112,0.7158,0.7374
"138","Guaraqueçaba","Índice Ipardes de Desempenho Municipal (IPDM)",0.3494,0.405,0.3825,0.4164,0.4203,0.466,0.4475,0.4349,0.4629
"139","Guaratuba","Índice Ipardes de Desempenho Municipal (IPDM)",0.4636,0.5061,0.4979,0.5464,0.5594,0.5838,0.5808,0.6209,0.6275
"140","Honório Serpa","Índice Ipardes de Desempenho Municipal (IPDM)",0.6166,0.6339,0.5753,0.6476,0.6356,0.6593,0.655,0.6692,0.7134
"141","Ibaiti","Índice Ipardes de Desempenho Municipal (IPDM)",0.6068,0.593,0.5974,0.6246,0.6325,0.6261,0.6485,0.7014,0.7048
"142","Ibema","Índice Ipardes de Desempenho Municipal (IPDM)",0.6245,0.6216,0.6361,0.6789,0.7069,0.6699,0.6861,0.7261,0.7369
"143","Ibiporã","Índice Ipardes de Desempenho Municipal (IPDM)",0.649,0.6677,0.6666,0.6923,0.7003,0.6973,0.6889,0.7082,0.71
"144","Icaraíma","Índice Ipardes de Desempenho Municipal (IPDM)",0.6237,0.6107,0.585,0.5408,0.5725,0.5513,0.5726,0.6044,0.6505
"145","Iguaraçu","Índice Ipardes de Desempenho Municipal (IPDM)",0.674,0.6705,0.6749,0.6194,0.6586,0.6455,0.6739,0.7163,0.7276
"146","Iguatu","Índice Ipardes de Desempenho Municipal (IPDM)",0.6275,0.7043,0.6806,0.7413,0.7283,0.7233,0.7143,0.7269,0.7522
"147","Imbaú","Índice Ipardes de Desempenho Municipal (IPDM)",0.4728,0.4993,0.4871,0.5145,0.5359,0.5154,0.5132,0.5676,0.5995
"148","Imbituva","Índice Ipardes de Desempenho Municipal (IPDM)",0.5656,0.5994,0.5764,0.6128,0.6199,0.6282,0.632,0.6788,0.6718
"149","Inácio Martins","Índice Ipardes de Desempenho Municipal (IPDM)",0.4769,0.4771,0.4725,0.4791,0.5198,0.5196,0.5228,0.564,0.5536
"150","Inajá","Índice Ipardes de Desempenho Municipal (IPDM)",0.5123,0.5683,0.65,0.7087,0.6867,0.655,0.6548,0.6897,0.7184
"151","Indianópolis","Índice Ipardes de Desempenho Municipal (IPDM)",0.6535,0.6616,0.707,0.7101,0.7264,0.7296,0.7216,0.7201,0.7142
"152","Ipiranga","Índice Ipardes de Desempenho Municipal (IPDM)",0.5269,0.5374,0.5119,0.5129,0.5269,0.4567,0.4728,0.571,0.5886
"153","Iporã","Índice Ipardes de Desempenho Municipal (IPDM)",0.6189,0.6367,0.6077,0.6144,0.5829,0.5757,0.6122,0.6475,0.6872
"154","Iracema do Oeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.5794,0.6283,0.6141,0.5586,0.5922,0.562,0.5842,0.6228,0.5934
"155","Irati","Índice Ipardes de Desempenho Municipal (IPDM)",0.6188,0.6489,0.6627,0.6902,0.6867,0.6842,0.7136,0.741,0.7404
"156","Iretama","Índice Ipardes de Desempenho Municipal (IPDM)",0.5894,0.5709,0.5469,0.5977,0.6237,0.6594,0.6899,0.7339,0.7221
"157","Itaguajé","Índice Ipardes de Desempenho Municipal (IPDM)",0.5091,0.4995,0.54,0.5308,0.5596,0.5862,0.5949,0.6639,0.6973
"158","Itaipulândia","Índice Ipardes de Desempenho Municipal (IPDM)",0.6924,0.7108,0.7017,0.7157,0.732,0.694,0.7324,0.7443,0.7459
"159","Itambaracá","Índice Ipardes de Desempenho Municipal (IPDM)",0.5801,0.5677,0.5237,0.5633,0.5817,0.6466,0.6242,0.6136,0.5772
"160","Itambé","Índice Ipardes de Desempenho Municipal (IPDM)",0.7074,0.7078,0.7067,0.6731,0.6685,0.6548,0.6649,0.6591,0.6861
"161","Itapejara d'Oeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.4829,0.5896,0.6556,0.6916,0.7264,0.7336,0.7158,0.7407,0.7441
"162","Itaperuçu","Índice Ipardes de Desempenho Municipal (IPDM)",0.3728,0.3872,0.3393,0.4149,0.4371,0.4673,0.508,0.5301,0.5781
"163","Itaúna do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.4948,0.5467,0.4957,0.5254,0.505,0.5658,0.6056,0.6571,0.6718
"164","Ivaí","Índice Ipardes de Desempenho Municipal (IPDM)",0.4655,0.5159,0.4959,0.4902,0.4942,0.5122,0.5344,0.5856,0.6001
"165","Ivaiporã","Índice Ipardes de Desempenho Municipal (IPDM)",0.6211,0.6703,0.6698,0.6682,0.6857,0.6937,0.7143,0.7396,0.7566
"166","Ivaté","Índice Ipardes de Desempenho Municipal (IPDM)",0.6643,0.7006,0.6901,0.6655,0.6898,0.7002,0.7475,0.749,0.7596
"167","Ivatuba","Índice Ipardes de Desempenho Municipal (IPDM)",0.7817,0.7081,0.7044,0.7738,0.7844,0.7377,0.7556,0.7937,0.7441
