code;variable;population;year;gender;level;group
4101804;30 a 34;6007;2020;man;7;worker
4101804;35 a 39;5819;2020;man;8;worker
4101804;40 a 44;5478;2020;man;9;worker
4101804;45 a 49;4807;2020;man;10;worker
4101804;50 a 54;4280;2020;man;11;worker
4101804;55 a 59;3466;2020;man;12;worker
4101804;60 a 64;2670;2020;man;13;worker
4101804;> 65;4789;2020;man;14;older
4101853;0 a 4;78;2020;man;1;younger
4101853;5 a 9;73;2020;man;2;younger
4101853;10 a 14;64;2020;man;3;younger
4101853;15 a 19;57;2020;man;4;worker
4101853;20 a 24;45;2020;man;5;worker
4101853;25 a 29;87;2020;man;6;worker
4101853;30 a 34;78;2020;man;7;worker
4101853;35 a 39;86;2020;man;8;worker
4101853;40 a 44;81;2020;man;9;worker
4101853;45 a 49;94;2020;man;10;worker
4101853;50 a 54;115;2020;man;11;worker
4101853;55 a 59;79;2020;man;12;worker
4101853;60 a 64;85;2020;man;13;worker
4101853;> 65;210;2020;man;14;older
4101903;0 a 4;529;2020;man;1;younger
4101903;5 a 9;533;2020;man;2;younger
4101903;10 a 14;521;2020;man;3;younger
4101903;15 a 19;479;2020;man;4;worker
4101903;20 a 24;517;2020;man;5;worker
4101903;25 a 29;608;2020;man;6;worker
4101903;30 a 34;572;2020;man;7;worker
4101903;35 a 39;530;2020;man;8;worker
4101903;40 a 44;492;2020;man;9;worker
4101903;45 a 49;491;2020;man;10;worker
4101903;50 a 54;500;2020;man;11;worker
4101903;55 a 59;500;2020;man;12;worker
4101903;60 a 64;384;2020;man;13;worker
4101903;> 65;1042;2020;man;14;older
4102000;0 a 4;973;2020;man;1;younger
4102000;5 a 9;1011;2020;man;2;younger
4102000;10 a 14;984;2020;man;3;younger
4102000;15 a 19;1065;2020;man;4;worker
4102000;20 a 24;1172;2020;man;5;worker
4102000;25 a 29;1311;2020;man;6;worker
4102000;30 a 34;1177;2020;man;7;worker
4102000;35 a 39;1175;2020;man;8;worker
4102000;40 a 44;1137;2020;man;9;worker
4102000;45 a 49;1205;2020;man;10;worker
4102000;50 a 54;1288;2020;man;11;worker
4102000;55 a 59;1048;2020;man;12;worker
4102000;60 a 64;911;2020;man;13;worker
4102000;> 65;2334;2020;man;14;older
4102109;0 a 4;792;2020;man;1;younger
4102109;5 a 9;824;2020;man;2;younger
4102109;10 a 14;817;2020;man;3;younger
4102109;15 a 19;773;2020;man;4;worker
4102109;20 a 24;858;2020;man;5;worker
4102109;25 a 29;1017;2020;man;6;worker
4102109;30 a 34;994;2020;man;7;worker
4102109;35 a 39;931;2020;man;8;worker
4102109;40 a 44;851;2020;man;9;worker
4102109;45 a 49;848;2020;man;10;worker
4102109;50 a 54;879;2020;man;11;worker
4102109;55 a 59;786;2020;man;12;worker
4102109;60 a 64;694;2020;man;13;worker
4102109;> 65;1705;2020;man;14;older
4102208;0 a 4;95;2020;man;1;younger
4102208;5 a 9;102;2020;man;2;younger
4102208;10 a 14;96;2020;man;3;younger
4102208;15 a 19;128;2020;man;4;worker
4102208;20 a 24;140;2020;man;5;worker
4102208;25 a 29;131;2020;man;6;worker
4102208;30 a 34;132;2020;man;7;worker
4102208;35 a 39;149;2020;man;8;worker
4102208;40 a 44;123;2020;man;9;worker
4102208;45 a 49;173;2020;man;10;worker
4102208;50 a 54;171;2020;man;11;worker
4102208;55 a 59;144;2020;man;12;worker
4102208;60 a 64;134;2020;man;13;worker
4102208;> 65;258;2020;man;14;older
4102307;0 a 4;470;2020;man;1;younger
4102307;5 a 9;471;2020;man;2;younger
4102307;10 a 14;441;2020;man;3;younger
4102307;15 a 19;437;2020;man;4;worker
4102307;20 a 24;548;2020;man;5;worker
4102307;25 a 29;554;2020;man;6;worker
4102307;30 a 34;500;2020;man;7;worker
4102307;35 a 39;512;2020;man;8;worker
4102307;40 a 44;455;2020;man;9;worker
4102307;45 a 49;442;2020;man;10;worker
4102307;50 a 54;406;2020;man;11;worker
4102307;55 a 59;349;2020;man;12;worker
4102307;60 a 64;295;2020;man;13;worker
4102307;> 65;466;2020;man;14;older
4102406;0 a 4;1019;2020;man;1;younger
4102406;5 a 9;1002;2020;man;2;younger
4102406;10 a 14;942;2020;man;3;younger
4102406;15 a 19;959;2020;man;4;worker
4102406;20 a 24;1059;2020;man;5;worker
4102406;25 a 29;1081;2020;man;6;worker
4102406;30 a 34;1156;2020;man;7;worker
4102406;35 a 39;1067;2020;man;8;worker
4102406;40 a 44;991;2020;man;9;worker
4102406;45 a 49;986;2020;man;10;worker
4102406;50 a 54;1060;2020;man;11;worker
4102406;55 a 59;971;2020;man;12;worker
4102406;60 a 64;892;2020;man;13;worker
4102406;> 65;1753;2020;man;14;older
4102505;0 a 4;350;2020;man;1;younger
4102505;5 a 9;366;2020;man;2;younger
4102505;10 a 14;330;2020;man;3;younger
4102505;15 a 19;329;2020;man;4;worker
4102505;20 a 24;377;2020;man;5;worker
4102505;25 a 29;453;2020;man;6;worker
4102505;30 a 34;404;2020;man;7;worker
4102505;35 a 39;409;2020;man;8;worker
4102505;40 a 44;366;2020;man;9;worker
4102505;45 a 49;405;2020;man;10;worker
4102505;50 a 54;425;2020;man;11;worker
4102505;55 a 59;452;2020;man;12;worker
4102505;60 a 64;327;2020;man;13;worker
4102505;> 65;917;2020;man;14;older
4102703;0 a 4;67;2020;man;1;younger
4102703;5 a 9;73;2020;man;2;younger
4102703;10 a 14;75;2020;man;3;younger
4102703;15 a 19;59;2020;man;4;worker
4102703;20 a 24;76;2020;man;5;worker
4102703;25 a 29;126;2020;man;6;worker
4102703;30 a 34;95;2020;man;7;worker
4102703;35 a 39;114;2020;man;8;worker
4102703;40 a 44;100;2020;man;9;worker
4102703;45 a 49;88;2020;man;10;worker
4102703;50 a 54;92;2020;man;11;worker
4102703;55 a 59;115;2020;man;12;worker
4102703;60 a 64;92;2020;man;13;worker
4102703;> 65;227;2020;man;14;older
4102604;0 a 4;337;2020;man;1;younger
4102604;5 a 9;333;2020;man;2;younger
4102604;10 a 14;296;2020;man;3;younger
4102604;15 a 19;335;2020;man;4;worker
4102604;20 a 24;405;2020;man;5;worker
4102604;25 a 29;460;2020;man;6;worker
4102604;30 a 34;398;2020;man;7;worker
4102604;35 a 39;379;2020;man;8;worker
4102604;40 a 44;344;2020;man;9;worker
4102604;45 a 49;314;2020;man;10;worker
4102604;50 a 54;317;2020;man;11;worker
4102604;55 a 59;334;2020;man;12;worker
4102604;60 a 64;279;2020;man;13;worker
4102604;> 65;538;2020;man;14;older
4102752;0 a 4;127;2020;man;1;younger
4102752;5 a 9;126;2020;man;2;younger
4102752;10 a 14;101;2020;man;3;younger
4102752;15 a 19;101;2020;man;4;worker
4102752;20 a 24;119;2020;man;5;worker
4102752;25 a 29;143;2020;man;6;worker
4102752;30 a 34;119;2020;man;7;worker
4102752;35 a 39;129;2020;man;8;worker
4102752;40 a 44;110;2020;man;9;worker
4102752;45 a 49;146;2020;man;10;worker
4102752;50 a 54;191;2020;man;11;worker
4102752;55 a 59;168;2020;man;12;worker
4102752;60 a 64;161;2020;man;13;worker
4102752;> 65;268;2020;man;14;older
4102802;0 a 4;470;2020;man;1;younger
4102802;5 a 9;470;2020;man;2;younger
4102802;10 a 14;440;2020;man;3;younger
4102802;15 a 19;471;2020;man;4;worker
4102802;20 a 24;519;2020;man;5;worker
4102802;25 a 29;567;2020;man;6;worker
4102802;30 a 34;558;2020;man;7;worker
4102802;35 a 39;536;2020;man;8;worker
4102802;40 a 44;516;2020;man;9;worker
4102802;45 a 49;466;2020;man;10;worker
4102802;50 a 54;489;2020;man;11;worker
4102802;55 a 59;502;2020;man;12;worker
4102802;60 a 64;466;2020;man;13;worker
4102802;> 65;999;2020;man;14;older
4102901;0 a 4;748;2020;man;1;younger
4102901;5 a 9;702;2020;man;2;younger
4102901;10 a 14;632;2020;man;3;younger
4102901;15 a 19;662;2020;man;4;worker
4102901;20 a 24;696;2020;man;5;worker
4102901;25 a 29;652;2020;man;6;worker
4102901;30 a 34;607;2020;man;7;worker
4102901;35 a 39;551;2020;man;8;worker
4102901;40 a 44;555;2020;man;9;worker
4102901;45 a 49;527;2020;man;10;worker
4102901;50 a 54;503;2020;man;11;worker
4102901;55 a 59;411;2020;man;12;worker
4102901;60 a 64;312;2020;man;13;worker
4102901;> 65;772;2020;man;14;older
4103008;0 a 4;112;2020;man;1;younger
4103008;5 a 9;116;2020;man;2;younger
4103008;10 a 14;99;2020;man;3;younger
4103008;15 a 19;121;2020;man;4;worker
4103008;20 a 24;122;2020;man;5;worker
4103008;25 a 29;154;2020;man;6;worker
4103008;30 a 34;148;2020;man;7;worker
4103008;35 a 39;146;2020;man;8;worker
4103008;40 a 44;145;2020;man;9;worker
4103008;45 a 49;153;2020;man;10;worker
4103008;50 a 54;175;2020;man;11;worker
4103008;55 a 59;190;2020;man;12;worker
4103008;60 a 64;131;2020;man;13;worker
4103008;> 65;290;2020;man;14;older
4103024;0 a 4;94;2020;man;1;younger
4103024;5 a 9;90;2020;man;2;younger
4103024;10 a 14;77;2020;man;3;younger
4103024;15 a 19;98;2020;man;4;worker
4103024;20 a 24;101;2020;man;5;worker
4103024;25 a 29;100;2020;man;6;worker
4103024;30 a 34;89;2020;man;7;worker
4103024;35 a 39;102;2020;man;8;worker
4103024;40 a 44;104;2020;man;9;worker
4103024;45 a 49;128;2020;man;10;worker
4103024;50 a 54;113;2020;man;11;worker
4103024;55 a 59;85;2020;man;12;worker
4103024;60 a 64;80;2020;man;13;worker
4103024;> 65;138;2020;man;14;older
4103040;0 a 4;264;2020;man;1;younger
4103040;5 a 9;246;2020;man;2;younger
4103040;10 a 14;213;2020;man;3;younger
4103040;15 a 19;214;2020;man;4;worker
4103040;20 a 24;256;2020;man;5;worker
4103040;25 a 29;301;2020;man;6;worker
4103040;30 a 34;259;2020;man;7;worker
4103040;35 a 39;225;2020;man;8;worker
4103040;40 a 44;257;2020;man;9;worker
4103040;45 a 49;216;2020;man;10;worker
4103040;50 a 54;198;2020;man;11;worker
4103040;55 a 59;176;2020;man;12;worker
4103040;60 a 64;141;2020;man;13;worker
4103040;> 65;258;2020;man;14;older
4103057;0 a 4;308;2020;man;1;younger
4103057;5 a 9;298;2020;man;2;younger
4103057;10 a 14;235;2020;man;3;younger
4103057;15 a 19;248;2020;man;4;worker
4103057;20 a 24;278;2020;man;5;worker
4103057;25 a 29;295;2020;man;6;worker
4103057;30 a 34;234;2020;man;7;worker
4103057;35 a 39;244;2020;man;8;worker
4103057;40 a 44;251;2020;man;9;worker
4103057;45 a 49;321;2020;man;10;worker
4103057;50 a 54;268;2020;man;11;worker
4103057;55 a 59;223;2020;man;12;worker
4103057;60 a 64;217;2020;man;13;worker
4103057;> 65;568;2020;man;14;older
4103107;0 a 4;627;2020;man;1;younger
4103107;5 a 9;576;2020;man;2;younger
4103107;10 a 14;481;2020;man;3;younger
4103107;15 a 19;490;2020;man;4;worker
4103107;20 a 24;602;2020;man;5;worker
4103107;25 a 29;553;2020;man;6;worker
4103107;30 a 34;457;2020;man;7;worker
4103107;35 a 39;486;2020;man;8;worker
4103107;40 a 44;452;2020;man;9;worker
4103107;45 a 49;424;2020;man;10;worker
4103107;50 a 54;357;2020;man;11;worker
4103107;55 a 59;314;2020;man;12;worker
4103107;60 a 64;258;2020;man;13;worker
4103107;> 65;542;2020;man;14;older
4103156;0 a 4;127;2020;man;1;younger
4103156;5 a 9;132;2020;man;2;younger
4103156;10 a 14;115;2020;man;3;younger
4103156;15 a 19;99;2020;man;4;worker
4103156;20 a 24;121;2020;man;5;worker
4103156;25 a 29;162;2020;man;6;worker
4103156;30 a 34;112;2020;man;7;worker
4103156;35 a 39;109;2020;man;8;worker
4103156;40 a 44;130;2020;man;9;worker
4103156;45 a 49;131;2020;man;10;worker
4103156;50 a 54;131;2020;man;11;worker
4103156;55 a 59;134;2020;man;12;worker
4103156;60 a 64;121;2020;man;13;worker
4103156;> 65;370;2020;man;14;older
4103206;0 a 4;248;2020;man;1;younger
4103206;5 a 9;236;2020;man;2;younger
